CpuCycles,TaskSizeMB,DeadlineMs,LatencySensitivity,RequiredMemoryMB,EdgeCpuUsagePercent,EdgeMemoryUsagePercent,EdgeQueueSize,BandwidthMbps,NetworkLatencyMs,CloudCpuUsagePercent,CloudQueueSize,ExecutionTimeEdge,ExecutionTimeCloud,TotalResponseTimeEdge,TotalResponseTimeCloud,BestDestination
2686311182.86229,42.69473,5422.32839,0.90262,1596.49449,56.56771,85.89478,0,130.69159,16.94746,78.38385,12,510.89883,64.26846,510.89883,3036.9113,Edge
4828019413.20208,12.92149,5053.06475,0.85874,2605.39707,85.49407,84.82248,23,556.36147,47.34092,85.90995,29,1255.68691,118.87207,2554.55056,1230.77181,Cloud
2596173300.21978,5.3523,4949.07836,0.06685,233.10847,92.51995,72.99312,14,30.42666,100.09837,75.51146,39,416.51262,61.42149,1251.3883,2613.3644,Edge
667872267.29462,2.9213,4002.52347,0.82075,2735.37454,62.31739,24.7487,0,602.36702,127.07095,44.9372,0,90.3394,13.91012,90.3394,284.07201,Edge
2872725002.01255,0.27993,2793.7815,0.8215,5028.32475,55.62652,80.92398,14,3.19221,87.98613,23.48014,4,818.17858,54.1243,1420.62566,976.58275,Cloud
4405400606.82939,2.47055,5046.67329,0.08737,3898.54007,70.99874,28.55014,5,35.20601,144.278,33.14229,4,627.76496,86.94233,877.51213,874.3838,Cloud
6554984557.7008,33.62968,348.66541,0.23105,5734.26909,55.69859,39.97092,25,3.35149,146.06798,62.3346,19,1317.75558,147.08329,2394.36473,81051.37961,Edge
3477610827.8323,33.00179,598.52732,0.90126,4191.46855,46.01623,22.28834,16,405.65183,41.56817,14.03139,0,423.15635,62.4783,1042.47321,792.35006,Cloud
4931365916.98572,6.73896,5643.8875,0.54588,5170.82985,77.30899,41.36808,8,172.1739,10.82671,63.12289,31,1049.08387,111.01185,1471.39624,1181.37007,Cloud
1521351047.9179,0.44439,3815.82043,0.39323,1892.60812,46.72406,12.26453,19,495.01361,176.7946,58.15172,3,186.01567,33.54744,927.5064,355.42458,Cloud
4448178673.88398,3.41079,3706.84334,0.87165,3597.43168,24.03631,74.95559,3,49.03137,35.07649,82.7297,33,794.21938,108.21006,880.66839,1660.98621,Edge
5988420267.09505,12.51687,4502.54251,0.36838,5512.65135,94.87153,48.11752,2,12.58092,42.40402,11.27786,8,1612.57384,106.06039,1733.95821,8223.20661,Edge
3946077738.84017,47.68885,5763.81922,0.87192,3735.80749,19.08698,66.72987,6,180.22278,91.07067,68.98655,20,625.26055,90.9741,784.79538,2881.87654,Edge
4198329161.57242,1.73163,2694.8854,0.41879,4997.86797,76.22579,48.84447,9,114.78743,68.82234,69.32664,11,953.83931,96.92179,1424.55375,593.02069,Cloud
473483480.50075,3.45299,2347.24913,0.10751,4161.2799,83.62046,68.28294,18,2.2292,111.40815,74.24743,19,125.45596,11.14648,1126.7817,13026.7386,Edge
925016503.4202,4.86306,1406.80746,0.07748,1537.17702,30.47117,11.5167,7,492.57158,124.73251,50.97186,33,100.57332,19.78266,322.55752,933.21807,Edge
5020601453.87454,139.92636,4859.74732,0.4977,833.62848,46.1298,39.02835,15,20.46924,72.87052,38.45705,25,611.38289,101.55424,1192.75903,55359.68538,Edge
433389679.66074,15.94754,2145.12635,0.70521,5411.89687,29.01612,89.67374,0,954.75317,95.30723,6.40677,7,114.84502,7.48026,114.84502,383.49202,Edge
951234825.74766,1.98892,4434.33751,0.39824,5111.22259,22.26787,78.83943,8,7.94234,40.1017,60.27307,7,210.76931,21.1626,434.93365,2243.41309,Edge
5995111508.19953,0.16298,4566.9853,0.71484,1784.89682,36.62209,40.44832,13,2.65012,46.42258,85.03553,28,682.55387,147.12199,1130.79307,1522.5346,Edge
2308471545.04548,42.20699,1343.44953,0.33767,3122.46258,39.25704,27.82712,11,3.76858,128.92482,77.97291,39,267.89243,55.14103,660.21479,90884.17703,Edge
7090462941.76507,0.34835,5100.46822,0.13004,5427.46624,80.2934,44.90915,24,19.55817,29.40904,29.7294,29,1675.98595,137.69246,2975.15471,793.08909,Cloud
4737543115.27011,16.77601,1012.44071,0.69077,4146.20619,70.28182,88.41056,9,17.76278,164.14562,17.89731,6,1432.23847,86.80991,1878.87984,8003.54714,Edge
6910712617.17505,9.79599,1692.88271,0.04565,4723.9773,20.99157,50.53014,2,14.78528,144.4171,59.4,10,1054.86991,153.18746,1109.76232,5835.28095,Edge
3579234247.15606,9.10429,2379.6021,0.21544,2256.10756,37.48747,94.3329,14,104.51127,88.05594,8.3706,37,733.00961,62.42801,1221.18069,1304.49584,Edge
1989484933.75885,33.70742,5943.34922,0.45998,3889.99209,32.08531,21.75241,14,4.94117,64.54922,8.2579,22,218.98479,34.67928,673.12227,54962.88964,Edge
3639130232.78077,0.14339,5627.85638,0.43587,889.06113,81.50637,17.27268,0,85.24287,148.60647,78.30965,3,550.43778,87.03912,550.43778,395.56088,Cloud
7109786094.21746,12.26152,1903.11046,0.74372,2160.36051,89.32357,18.85107,17,216.20179,121.66335,82.66359,10,1121.7084,172.91499,2111.03371,1120.62749,Cloud
3329377208.66379,1.70338,1543.15979,0.18985,1818.59003,26.53517,93.97541,3,352.86367,167.22679,76.87347,10,587.51464,79.18784,677.33712,585.90228,Cloud
7832702191.18926,2.96785,1407.0789,0.40731,3727.23714,72.77116,33.47998,23,380.68384,74.00188,80.90608,38,1127.72084,189.22219,2294.90231,1412.10953,Cloud
6789362911.61895,0.28263,4313.52838,0.99078,4940.60662,38.32116,93.47253,19,909.80967,24.43286,89.80016,14,1898.30142,169.60844,2567.94738,637.31852,Cloud
3233132946.52995,8.29269,1988.43451,0.34869,3346.17131,63.09564,29.14114,12,516.01877,49.33184,86.21022,29,439.4249,79.6938,996.14136,1114.81273,Edge
826383976.46434,0.14553,5264.89605,0.32515,4633.36102,63.63987,31.18216,25,54.99145,63.08407,31.12188,11,112.69114,16.15442,1278.6397,306.2371,Cloud
4835477887.90217,0.12353,4783.50094,0.61251,3771.5227,20.72385,44.69413,6,93.23516,45.16528,11.89947,24,486.46461,85.91904,650.41901,472.17685,Cloud
3999369132.54176,71.68512,4769.36838,0.4137,6080.85919,23.1133,56.91693,9,2.29339,105.22871,72.95616,1,809.51605,93.67269,1065.12493,250327.2289,Edge
6672407610.818,0.42524,2051.21163,0.7938,1486.73883,48.46634,78.74596,21,177.52187,94.26536,72.54238,8,825.5233,156.0246,1661.53025,551.95582,Cloud
1778452892.35863,26.17272,3275.94703,0.10311,4093.66597,35.87567,72.55774,22,133.57651,106.65172,62.48914,35,362.5905,39.93107,1113.75963,2556.2497,Edge
7849504032.38158,8.49754,2351.59474,0.35611,1242.47857,93.00362,78.49084,24,8.41536,122.08497,63.58079,33,1262.48558,177.03596,2698.92469,9212.31502,Edge
5732857491.44054,30.91214,4487.39409,0.12012,5023.89518,77.60168,79.82783,2,45.20398,161.36196,80.09106,8,1843.80663,138.06157,1949.64814,6010.461,Edge
6197914183.72091,133.07476,4649.5877,0.44372,1625.71887,36.34498,19.68502,21,3.17904,30.27201,40.14666,26,704.21208,126.33797,1425.67217,335540.38602,Edge
3377481860.70355,0.36208,1122.02969,0.54424,6002.48416,63.41433,24.38319,18,27.13845,141.71582,64.64236,14,459.94077,76.50696,1297.59682,741.18536,Cloud
5276176224.0325,60.04975,5655.60497,0.95712,1604.31991,12.62961,83.6186,6,66.3622,175.24517,29.33974,4,700.25446,102.26976,842.35441,7750.09409,Edge
806468695.35859,0.30381,3100.11097,0.04502,3944.97732,32.84519,45.22278,7,5.85674,14.74993,36.74449,5,89.27957,16.18497,318.74191,537.00129,Edge
6243623222.45428,140.38011,424.35787,0.07208,4117.63495,44.34549,85.62427,9,5.77576,139.49106,73.89365,34,1552.96024,146.77929,1894.55946,195629.55424,Edge
4335249320.76002,0.10602,2620.56178,0.84417,4521.81863,50.26323,68.94835,17,3.98943,54.19609,67.24471,25,995.01727,99.24699,1685.53096,1031.63728,Cloud
977936089.72707,4.04748,1880.61741,0.36853,248.78755,88.71422,69.10213,20,926.1433,107.63801,29.6855,36,153.79204,18.98695,1312.22002,796.36404,Cloud
7213451488.9044,1.82212,4817.86521,0.05053,898.25727,31.1609,78.25508,13,202.67152,129.75225,89.82795,22,788.43563,180.22137,1204.72688,1043.22133,Cloud
7848881747.17728,0.17817,3579.01689,0.16162,1741.54768,89.58296,93.82088,7,5.46471,116.16204,83.26058,38,2048.00363,191.32418,2456.18994,1663.14484,Cloud
4771486323.54638,1.10845,862.85207,0.82968,998.07075,35.36225,95.22365,11,242.36818,114.75738,76.70238,24,806.34926,113.41221,1179.39241,1004.95737,Cloud
5604860805.97847,2.84238,3958.63214,0.22687,1463.75723,16.59175,37.97799,9,697.8506,113.72338,24.32784,9,544.56713,106.03973,773.76373,416.31759,Cloud
3051134515.11186,14.62473,2413.90285,0.57637,4785.80253,78.96248,10.43874,10,97.34576,98.47587,60.29765,4,455.03218,67.88708,990.36335,1518.06257,Edge
6274496889.21892,3.36271,4077.9898,0.80563,5550.73271,19.1241,24.31636,20,34.75097,160.52478,16.96219,25,622.86981,114.42951,1154.98667,1521.69798,Edge
4934650967.14657,3.89579,3509.61452,0.62918,3784.60158,45.43044,58.86458,24,7.35658,109.20315,23.6491,9,867.91607,93.04974,1790.56482,4644.31174,Edge
2729077662.63423,0.52066,2044.83987,0.39252,4534.91551,48.75294,87.42644,5,285.76842,47.102,65.91136,39,746.18047,62.13993,945.87458,1097.82536,Edge
427235118.54524,0.53689,5109.47911,0.35195,4671.93219,68.55893,86.58955,8,2.67803,175.60667,10.33267,4,133.37044,7.52933,524.18258,1897.8835,Edge
5994032624.82678,0.33184,5082.38718,0.52697,2712.45244,37.42828,91.8868,21,642.58005,97.76579,30.84073,27,1269.91693,117.01724,2001.61421,723.62778,Cloud
1273023019.85818,1.01722,2186.12867,0.79531,4436.76593,69.20031,80.84357,1,2.42117,19.54221,57.31603,22,367.97987,27.97303,417.12001,3921.56555,Edge
4028566671.1063,0.25586,69.86392,0.6128,5326.87258,33.822,75.65923,14,115.46295,123.97744,60.64112,29,972.05759,89.76285,1437.13622,984.33124,Cloud
786300870.72323,44.68107,4355.59214,0.67187,4055.94146,57.54677,80.36284,0,7.22862,164.44669,34.4336,31,201.04316,15.61197,201.04316,50284.463,Edge
3032185635.59101,147.23897,5984.34895,0.97765,862.87315,24.27211,56.77248,17,156.30697,86.89336,33.8073,19,314.01343,60.02809,805.69509,8099.07437,Edge
1720095572.00135,0.56432,3937.0271,0.38533,5729.8098,28.65799,66.33795,5,725.2006,30.60436,64.42265,24,382.78929,38.92873,537.26977,667.7026,Edge
3153129638.17414,90.60645,4109.8675,0.79114,5454.51045,69.20573,79.94093,16,16.72481,50.19162,48.78012,26,1013.91856,66.79383,1800.1998,44035.60595,Edge
236701339.24424,23.51306,4126.02575,0.54757,2430.56545,19.03936,13.94379,5,140.43366,148.72564,30.83422,30,23.48065,4.62081,156.3192,2077.74494,Edge
7022163447.84115,9.29371,983.38457,0.28105,5184.07242,63.10679,64.66341,8,2.47506,71.36261,68.48422,7,1821.99581,161.56452,2193.18026,30467.95488,Edge
2482178013.34438,0.75504,2499.66085,0.48943,931.82951,46.61549,55.39897,0,237.61774,122.68584,16.77429,37,303.27146,45.22489,303.27146,759.92055,Edge
1607067386.39021,55.30114,1322.00817,0.25037,4841.58394,20.68874,29.48187,18,85.40184,43.1187,54.55184,13,161.62911,34.90191,653.20789,5555.15786,Edge
3485065419.1268,0.10135,2949.03729,0.9035,3322.99657,20.21169,27.04373,14,3.68442,47.26829,74.74152,8,349.12134,82.20286,728.45499,603.7781,Cloud
7033586102.22749,0.12321,1200.38021,0.70462,3812.64202,58.5172,68.90919,17,28.96693,133.31698,36.69744,30,1541.4149,141.12594,2295.07147,944.61074,Cloud
3578613539.00685,0.74786,1074.89996,0.46541,3881.8579,68.19692,22.86289,10,565.66616,24.88272,23.16653,8,501.59314,67.31986,988.47927,235.13297,Cloud
1498982998.21605,1.47694,5510.25008,0.67768,5171.10788,5.73801,66.50862,24,20.44539,152.16208,16.84087,1,256.59085,27.32047,750.56139,874.20864,Edge
4434739795.2968,14.44036,4810.24186,0.03091,1239.96819,39.57795,12.50369,12,87.17078,108.94284,15.02171,5,515.82658,80.08061,945.54752,1584.16281,Edge
5308339555.35588,15.05227,2070.51657,0.8216,3729.8269,81.50709,15.10555,1,3.47078,11.7459,51.19002,1,802.91771,113.63288,857.5959,34851.15515,Edge
1883834548.70611,43.86106,3225.33932,0.84172,3169.86001,38.02688,34.96878,9,135.10855,135.11516,20.53195,14,216.68317,34.97861,532.69203,3084.14659,Edge
888403607.43385,6.75763,4610.40692,0.41448,5261.75988,5.22529,28.85984,1,576.34164,27.44835,44.9055,0,77.90211,18.50063,98.25349,151.12618,Edge
105221846.09679,0.20576,1782.89027,0.86991,5782.77606,43.77132,86.61169,19,171.90751,44.89662,34.04014,21,31.44134,2.08534,747.68611,462.87878,Cloud
7252733480.27968,6.47207,5852.74407,0.76794,848.65869,23.38936,19.36788,7,7.70322,125.9949,9.45409,33,745.75846,127.22778,945.43495,7470.03647,Edge
4093873954.74775,1.30724,2366.8537,0.06999,1092.45361,80.67197,89.55468,8,49.04123,79.5509,32.3181,38,867.73429,80.48181,1302.15339,1029.02747,Cloud
6194298451.76372,0.76656,5373.64423,0.23553,4412.40053,79.95334,91.00976,7,32.73228,173.70897,54.16056,16,2087.6571,134.30189,2465.51011,886.92194,Cloud
2642320604.78177,6.59784,2052.57569,0.90271,3701.66098,30.77634,10.65885,14,17.82671,74.72294,28.33495,4,287.96085,50.97109,733.85178,3218.95915,Edge
6321274393.87668,95.55214,5815.5065,0.51684,3104.69958,93.58741,83.72781,3,846.09229,94.25789,40.95168,3,1817.7731,129.32372,1998.1161,1232.79332,Cloud
1292545958.53507,1.0194,3771.1196,0.89187,842.04517,17.08296,93.64503,24,587.56678,175.13081,9.39462,40,180.14906,22.66678,796.64503,850.54411,Edge
3402372584.00413,0.7694,5126.97027,0.65755,1033.02717,70.38831,45.95263,6,55.42379,120.79434,46.60604,8,483.10376,71.38872,781.1522,544.69553,Cloud
4704829802.64576,18.60162,4517.36568,0.49372,5471.29473,42.85849,34.18024,25,410.329,162.1709,86.27393,3,766.98975,115.99755,1699.14774,807.84338,Cloud
3769881300.47446,32.95635,641.75817,0.24302,3312.77197,40.61623,24.2047,15,12.61223,166.83839,47.52041,3,441.75543,79.41898,985.91501,21252.53709,Edge
4250950243.92984,84.09478,3950.0369,0.46419,4772.21292,48.23088,41.97216,23,10.64888,55.62164,75.81007,15,711.26832,100.68851,1624.45791,63758.74822,Edge
6612329697.45171,23.169,5282.92775,0.44484,640.49825,17.28276,53.01235,2,64.57179,178.78608,80.9441,19,646.26021,159.76374,697.81469,3816.90664,Edge
2142051700.56878,5.68604,2864.6073,0.24185,4506.99188,46.32892,76.32009,9,596.27374,80.15085,51.21308,29,516.3317,45.85837,865.96383,838.42046,Cloud
2594021908.33074,0.41859,1884.35284,0.83146,1891.78104,25.66339,69.68126,4,10.0235,9.03868,27.83647,24,271.64466,49.91966,389.83877,787.53504,Edge
3191479712.16192,59.09646,4744.75638,0.30668,2174.27784,45.63857,33.08929,5,3.28074,84.8708,60.38528,21,387.33545,71.03562,580.02223,144776.17868,Edge
6135922787.96058,1.15213,2700.11217,0.83227,3834.43813,27.06673,78.15239,2,442.07443,177.48873,84.45736,14,1201.46741,150.24907,1261.82746,896.43449,Cloud
6391667047.11582,15.23681,4803.81127,0.04528,5860.76967,74.3318,22.19261,4,856.52867,115.59288,48.75746,29,928.55903,135.38347,1134.35628,999.59502,Cloud
4770666636.21025,68.0693,547.62739,0.13957,3700.42126,18.688,84.2414,5,88.66646,72.5815,19.10679,8,914.56517,87.95112,1046.61317,6425.89529,Edge
52588802.55399,0.18418,3942.50802,0.27177,3770.11646,72.46708,78.87806,5,3.82601,154.06361,40.66172,40,13.96755,1.07448,267.01849,1339.95145,Edge
7955215093.33291,23.16161,3105.82507,0.55773,894.09782,26.37638,17.76745,3,12.66235,95.07125,68.27277,36,837.79271,182.87623,927.40082,15865.05853,Edge
3805765008.39357,0.30782,4787.97376,0.15365,2929.1142,77.91981,74.19282,8,6.04474,139.27495,26.86557,12,874.03467,72.89646,1298.54599,831.88365,Cloud
2353061274.48709,0.87831,2563.15927,0.46812,3620.27644,63.71913,59.09872,21,19.90323,10.72304,19.14591,4,454.53026,43.38912,1434.67607,469.01161,Cloud
5201732249.55878,2.76547,3427.58803,0.05245,464.69001,83.76153,32.72681,5,22.77012,31.61933,89.9082,28,796.56522,129.99909,1075.02866,1968.72714,Edge
235378737.92713,0.8582,4024.86339,0.33143,944.28619,15.78019,18.44416,2,2.57293,145.97414,77.23498,4,22.71016,5.60626,72.91234,2976.3124,Edge
2606214698.68636,1.01097,484.35244,0.18324,4915.79502,49.77732,69.15533,11,17.47345,73.01247,51.75957,2,628.87373,55.92733,1073.27147,647.95472,Cloud
6753735730.58924,4.79413,3467.11859,0.45058,3169.20507,70.57242,31.25182,18,2.34019,34.30473,79.83283,25,960.00089,162.4854,1855.63753,17290.21434,Edge
3016614038.03929,0.10279,4276.4556,0.57908,5206.82294,54.3132,84.85873,4,40.23062,89.3138,47.57966,24,899.34151,63.56667,1069.10526,716.26182,Cloud
3341532738.31659,83.35517,334.5783,0.00349,765.67955,74.95715,30.90379,2,13.00042,130.48181,73.11634,25,487.18753,78.31449,590.64896,52155.24187,Edge
704862627.34275,0.6393,3140.46548,0.89219,3065.40908,28.36312,29.38068,9,24.78761,178.34281,34.8167,20,75.39864,14.02002,352.26926,911.00116,Edge
3443836345.93982,1.12551,322.45048,0.76087,3530.63586,35.00274,40.1493,18,6.02273,55.31957,89.59409,30,387.43946,85.96648,994.96169,2569.71103,Edge
1950865420.28043,0.46542,2493.56492,0.55078,3072.20922,6.26864,35.98188,3,242.69728,106.79847,69.63644,30,172.76317,45.09325,235.22583,985.65657,Edge
1890904538.46888,0.7376,5407.00611,0.67139,5413.44982,75.40611,10.44891,2,252.3799,40.00269,67.6258,27,276.39684,43.35525,380.26234,805.29299,Edge
2792615420.13502,0.36016,3265.39777,0.83986,5465.15974,48.92076,67.12211,21,57.99308,126.45463,31.13581,4,702.38735,54.59455,1542.68849,404.33591,Cloud
6591264065.72352,4.02225,331.27721,0.48316,5290.55746,41.8892,43.71548,20,2.06371,152.10531,88.19178,2,1181.46689,163.67804,1918.46969,16040.42529,Edge
7117827498.08292,2.16773,4410.29652,0.66376,1543.86307,76.07835,82.99713,3,15.57201,95.91746,12.10811,28,1448.45669,126.61041,1605.16246,1754.43461,Edge
7261089251.19559,14.00878,5074.31923,0.98383,5844.55336,42.7131,44.91594,16,16.35496,48.60119,75.51545,40,1446.61878,171.78893,2042.15311,8185.11182,Edge
7326781258.535,30.92598,5592.66419,0.85711,3741.8918,87.45759,86.91591,4,5.8193,114.06513,76.49219,29,2291.23695,174.00575,2520.66061,43678.91551,Edge
1168544035.04103,7.22795,5035.89865,0.39279,1084.369,78.00059,49.3909,10,129.59599,47.04458,47.18444,36,173.33461,24.58102,704.33726,1269.98844,Edge
